stock_id,date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2330,2012-11-06,26410622,2380950880,90.6,90.6,89.7,90.4,0.1,7490
2330,2012-11-07,22104042,2001256326,90.5,91.0,90.0,91.0,0.6,7062
2330,2012-11-08,39982021,3613654978,90.8,90.9,89.9,90.5,-0.5,9834
2330,2012-11-09,38435994,3471644015,90.3,90.9,89.5,90.8,0.3,9270
2330,2012-11-12,29957365,2735085181,91.0,91.8,90.6,91.3,0.5,9522
2330,2012-11-13,41761048,3757311680,91.0,91.0,89.3,90.3,-1.0,11539
2330,2012-11-14,31098501,2811100212,90.0,90.9,89.5,90.5,0.2,6542
2330,2012-11-15,25096315,2259688850,89.9,90.6,89.0,90.2,-0.3,6977
2330,2012-11-16,33802911,3035657490,89.2,90.3,89.2,90.2,0.0,6953
2330,2012-11-19,24008686,2163252687,89.7,90.5,89.7,90.0,-0.2,6294
2330,2012-11-20,21474874,1936744971,90.0,90.4,89.8,90.4,0.4,5637
2330,2012-11-21,30262482,2730418163,90.3,90.9,89.2,90.5,0.1,7078
2330,2012-11-22,20798294,1891304729,90.3,91.3,90.3,91.3,0.8,6279
2330,2012-11-23,64301847,6044532536,91.6,95.5,91.5,95.5,4.2,19913
2330,2012-11-26,40021016,3812894830,95.5,95.6,94.9,95.3,-0.2,10458
2330,2012-11-27,50925485,4866241979,94.6,96.3,94.3,96.3,1.0,12275
2330,2012-11-28,63210896,6054403755,95.8,96.1,95.3,95.9,-0.4,9478
2330,2012-11-29,56516236,5454663600,96.0,97.3,95.5,96.5,0.6,10024
2330,2012-11-30,76884589,7526710825,96.0,98.8,95.9,98.7,2.2,16933
2330,2012-12-03,44060536,4311338915,98.3,98.6,96.8,97.9,-0.8,12502
2330,2012-12-04,43075268,4147396261,96.9,97.2,95.3,96.6,-1.3,13639
2330,2012-12-05,60542922,5812102471,94.6,97.1,94.6,96.9,0.3,15177
2330,2012-12-06,33501484,3236359575,96.6,96.9,96.1,96.6,-0.3,9439
2330,2012-12-07,37114121,3636255890,97.1,98.5,97.1,98.1,1.5,11574
2330,2012-12-10,30865940,2996197439,97.9,98.0,96.5,96.5,-1.6,8883
2330,2012-12-11,40668489,3972651022,97.3,98.3,96.7,98.3,1.8,12010
2330,2012-12-12,42272408,4143972704,98.3,98.5,97.2,98.4,0.1,10100
2330,2012-12-13,45585236,4499194209,98.3,99.4,97.9,99.2,0.8,11536
2330,2012-12-14,34112762,3352051425,98.2,98.6,97.5,98.4,-0.8,9201
2330,2012-12-17,46715917,4526485549,96.4,97.7,96.2,97.0,-1.4,12256
2330,2012-12-18,35430802,3409270783,95.0,96.7,95.0,96.7,-0.3,10534
2330,2012-12-19,27889579,2701305036,96.7,97.3,96.2,97.3,0.6,8341
2330,2012-12-20,35517115,3409134340,96.1,96.9,95.1,96.0,-1.3,10738
2330,2012-12-21,34754207,3303552359,95.1,96.5,94.6,94.8,-1.2,10874
2330,2012-12-22,8384951,803332094,95.7,96.2,95.0,95.7,0.9,3112
2330,2012-12-24,17215850,1646053359,96.0,96.4,95.1,95.2,-0.5,5291
2330,2012-12-25,16006069,1543165588,96.0,97.3,95.6,96.5,1.3,5358
2330,2012-12-26,12055449,1164163504,96.5,97.3,96.0,96.0,-0.5,5045
2330,2012-12-27,24204700,2319460051,96.2,96.7,95.5,95.6,-0.4,5925
2330,2012-12-28,25705388,2483313883,96.8,97.0,95.9,97.0,1.4,7825
2330,2013-01-02,40647121,4021304950,97.6,99.9,97.1,99.6,2.6,14353
2330,2013-01-03,44335846,4472175100,100.5,102.0,100.0,101.0,1.4,12616
2330,2013-01-04,39502577,3980403777,100.5,101.5,100.0,101.5,0.5,10276
2330,2013-01-07,42328657,4237769552,101.0,101.0,99.1,100.5,-1.0,9042
2330,2013-01-08,31218717,3100841808,99.6,100.0,98.9,99.7,-0.8,9463
2330,2013-01-09,26417262,2638483776,100.5,100.5,99.2,100.0,0.3,7616
2330,2013-01-10,41234333,4133510035,99.9,101.0,99.5,101.0,1.0,8304
2330,2013-01-11,22993851,2319676468,101.5,101.5,100.5,101.0,0.0,7982
2330,2013-01-14,23575867,2375656925,101.0,102.0,100.0,102.0,1.0,6414
2330,2013-01-15,36015126,3620754003,102.0,102.0,99.8,100.5,-1.5,10021
2330,2013-01-16,35496359,3543926150,100.5,100.5,99.2,99.2,-1.3,8742
2330,2013-01-17,40526293,4042971250,100.5,101.0,98.5,99.3,0.1,9034
2330,2013-01-18,49874215,5045047215,101.5,101.5,100.5,101.5,2.2,11823
2330,2013-01-21,17310236,1738509600,101.0,101.0,100.0,100.5,-1.0,5625
2330,2013-01-22,21946618,2205121218,101.0,101.0,99.9,101.0,0.5,5388
2330,2013-01-23,30821432,3111421288,101.5,101.5,100.0,101.0,0.0,7292
2330,2013-01-24,40653209,4059542810,100.0,100.5,99.2,99.9,-1.1,8257
2330,2013-01-25,48674849,4801805861,99.9,99.9,98.0,99.0,-0.9,11885
2330,2013-01-28,29190978,2893310122,98.7,99.5,98.6,99.3,0.3,7200
2330,2013-01-29,36060537,3624866512,100.0,101.5,99.7,101.0,1.7,12071
2330,2013-01-30,28862623,2923728423,102.0,102.0,100.5,101.5,0.5,6963
2330,2013-01-31,42489565,4266277265,100.5,101.5,100.0,101.5,0.0,6481
2330,2013-02-01,23211035,2343091003,101.5,101.5,100.5,101.5,0.0,7596
2330,2013-02-04,35257079,3618099182,102.0,103.0,102.0,103.0,1.5,10873
2330,2013-02-05,17896471,1832150196,103.0,103.0,101.5,103.0,0.0,5200
2330,2013-02-06,32330330,3369267370,103.5,105.0,103.0,105.0,2.0,9340
2330,2013-02-18,64345580,6895059371,107.0,108.5,106.5,107.0,2.0,13470
2330,2013-02-19,22103657,2372380213,108.5,108.5,106.5,107.0,0.0,6114
2330,2013-02-20,41921556,4558604798,108.5,109.5,108.0,109.0,2.0,10171
2330,2013-02-21,30551806,3287642271,108.5,108.5,107.0,107.0,-2.0,7485
2330,2013-02-22,39577666,4188440636,106.0,106.5,105.0,105.5,-1.5,10313
2330,2013-02-23,10174533,1083855709,106.5,107.5,106.0,107.0,1.5,3022
2330,2013-02-25,37216683,3938987715,106.5,107.0,105.0,105.0,-2.0,8564
2330,2013-02-26,38498610,4006611594,103.5,105.0,102.5,103.5,-1.5,9572
2330,2013-02-27,81358059,8385327394,102.0,104.5,101.0,104.5,1.0,13654
2330,2013-03-01,35081170,3651664826,103.0,105.0,102.5,105.0,0.5,9263
2330,2013-03-04,55265946,5652060892,104.5,104.5,101.5,102.0,-3.0,11896
2330,2013-03-05,56213527,5798480893,103.5,104.0,102.5,104.0,2.0,9603
